Mode: 21 #Games: 100
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
1	7	9	11	18	19	24	30	31	35	0	3	4	10	13	20	27	32	36	39	3	1	72	176	4178	0	0	561	36	2	1	0	0	
11	14	17	23	27	30	32	34	36	39	0	4	6	9	12	13	16	19	21	31	2	2	41	2097	238	0	1608	303	379	7	1	1	0	
1	5	10	12	18	25	27	30	34	37	0	3	8	14	16	17	20	29	36	39	3	3	58	109	109	0	189	0	36	7	1	0	0	
5	7	8	12	13	14	16	20	24	28	1	2	4	6	10	15	19	26	31	33	2	0	18	1380	2360	334	330	0	30	3	1	0	0	
3	6	7	12	16	20	25	26	31	38	1	8	11	13	19	23	24	34	36	37	3	1	51	60	0	230	104	102	0	5	1	0	0	
1	2	11	18	20	22	25	32	34	37	0	5	7	8	9	13	14	16	19	38	0	2	96	245	0	0	747	845	0	7	1	1	0	
2	3	6	12	14	18	19	24	28	31	0	5	7	9	11	25	29	33	34	38	0	3	86	0	665	766	0	432	12	2	0	1	0	
0	6	11	15	20	24	28	30	33	38	1	4	5	10	16	19	21	22	29	39	0	0	69	855	0	514	12756	0	37	3	0	1	0	
0	7	15	16	23	24	27	30	32	37	2	8	9	10	11	13	20	31	33	34	1	1	37	57	178	0	245	98	0	1	1	1	0	
0	6	9	16	21	23	26	29	38	39	3	8	13	14	15	18	19	28	32	35	0	2	71	66	0	20056	432	0	297	3	1	1	0	
6	11	13	17	18	19	27	31	32	38	3	5	7	8	15	20	22	24	29	33	1	3	105	214	125	0	32474	8	0	3	2	1	0	
3	13	16	18	22	23	25	33	37	39	0	5	7	8	9	27	28	29	34	38	1	0	79	724	7747	0	164	143	22	6	0	1	0	
0	2	5	13	16	20	27	28	34	38	1	4	6	7	10	15	18	23	29	30	1	1	52	593	858	0	548	3	48	0	2	1	0	
3	4	14	16	18	20	27	36	37	38	1	2	10	11	12	13	22	25	34	39	1	2	88	161	0	291	68	0	12	0	1	1	0	
3	4	11	13	14	20	29	32	33	35	15	18	21	25	28	31	34	36	37	39	0	3	50	0	0	403	216	0	5	0	1	1	0	
9	12	13	22	28	29	32	34	35	36	1	5	6	8	17	23	31	33	37	39	1	0	58	706	289	0	0	0	0	10	2	2	0	
1	3	8	13	18	19	29	32	35	37	0	5	6	10	16	21	24	33	34	38	2	1	39	188	3478	272	360	3	0	23	0	1	0	
0	1	3	7	16	17	18	21	23	36	2	5	8	11	29	32	34	35	37	38	1	2	37	0	20052	1527	1216	0	443	2	1	0	0	
1	2	10	16	25	26	30	32	33	36	4	6	8	9	13	18	24	31	37	38	3	3	86	257	111	0	388	0	19	4	2	1	0	
1	7	12	13	20	21	22	35	37	38	10	17	18	26	28	30	31	32	33	36	2	0	7	321	95	0	69381	0	0	8	2	1	0	
3	6	14	15	16	18	19	33	34	38	0	1	4	5	10	17	20	24	25	31	1	1	81	855	871	889	1507	8	39	12	2	1	0	
1	2	4	5	6	8	18	22	23	36	7	12	13	20	24	25	27	29	35	38	3	2	11	0	332	1956	0	804	43	5	0	1	0	
3	9	10	14	15	18	20	23	32	38	0	5	7	11	19	21	26	33	37	39	0	3	85	161	0	22914	1390	0	78	4	2	1	0	
10	11	12	16	17	19	26	27	28	29	3	4	6	9	15	23	24	33	38	39	2	0	91	778	1836	602	198	276	12	4	2	1	0	
0	1	7	8	11	18	21	32	33	37	5	6	13	16	17	23	29	30	36	39	0	1	94	258	7526	0	1351	6	45	5	4	1	0	
4	14	16	17	19	21	23	33	35	38	0	2	5	11	12	13	20	26	27	34	1	2	44	739	9841	199	0	7	41	1	0	0	0	
6	9	10	20	24	25	27	28	37	38	1	3	4	8	13	18	30	32	36	39	1	3	67	462	956	0	22337	1474	24	3	2	1	0	
